FAO_code,Latin,English,Spanish,French
lfk,Lampsis fasciola,Wavy-rayed lampmussel,,
lfl,Lagocephalus laevigatus,Smooth puffer,,
lfm,Laiphognathus multimaculatus,Spotty blenny,,
lfn,Lithophaga attenuata,Pacific date mussel,Datil de mar del Pacífico,Datte de mer du Pacifique
lfo,Lobophyllia corymbosa,Brain root coral,,
lfp,Luciocephalus pulcher,Pikehead,,
lfq,Lactophrys triqueter,Smooth trunkfish,,
lfr,Lophogobius bleekeri,,,
lfs,Lithophaga teres,Cylinder date mussel,,Datte de mer polie
lft,Lactophrys trigonus,Buffalo trunkfish,,
lfu,Liopropoma africanum,African basslet,,
lfv,Lepisosteus platyrhincus,Florida gar,,
lfw,Lagocephalus wheeleri,,,
lfx,Lagocephalus spp,,,
lfy,Placiphorella pacifica,Pacific veiled chiton,,
lfz,Lagocephalus sceleratus,Silver-cheeked toadfish,,Ballon à bande argentée
lga,Leiognathus daura,Goldstripe ponyfish,,
lgb,Leptoglanis bouilloni,,,
lgc,Clariger cosmurus,,,
lgd,Leptagonus decagonus,Atlantic poacher,,
lge,Leiognathus equulus,Common ponyfish,,
lgf,Lipogramma flavescens,Yellow basslet,,
lgg,Plagiopsetta glossa,Tongue flatfish,,
lgh,Lagocephalus lagocephalus,Oceanic puffer,Tamboril liebre,Compère océanique
lgi,Liobagrus reinii,,,
lgk,Plectroglyphidodon dickii,Blackbar devil,,
lgl,Leiognathus blochii,Twoblotch ponyfish,,
lgm,Lagusia micracanthus,,,
lgn,Plagioscion surinamensis,Pacora,,
lgo,Lagodon rhomboides,Pinfish,,
lgp,Leiognathus splendens,Splendid ponyfish,,
lgq,Plagioscion squamosissimus,South American silver croaker,Curbinata,Acoupa rivière
lgr,Ladigesia roloffi,Sierra leone dwarf characin,,
lgs,Leiognathus fasciatus,Striped ponyfish,,
lgt,Plagioscion auratus,Black curbinata,,
lgu,Leiognathus dussumieri,Dussumier's ponyfish,,
lgv,Lithogenes villosus,,,
lgw,Haliotis ovina,Oval abalone,,Ormeau ovale
lgx,Haliotis glabra,Glistening abalone,,Ormeau glabre
lgy,Iridaea spp,Iridea nei,Luga-luga,Iridea
lgz,Plagiotremus azalea,Sabertooth blenny,,
lha,Lophodolos acanthognathus,,,
lhb,Lethrinus rubrioperculatus,Spotcheek emperor,,
lhc,Callichthys callichthys,Cascarudo,,
lhd,Lithophyllum lichenoides,Stone weed,Piedra de mar,Pierre vermiculée
lhe,Labidochromis caeruleus,Blue streak hap,,
lhf,Lachneratus phasmaticus,,,
lhg,Lepidophanes gaussi,,,
lhh,Scartelaos histophorus,Walking goby,,
lhi,Lethrinus miniatus,Trumpet emperor,,Gueule rouge
lhj,Lobochilotes labiatus,,,
lhk,Palaemon hancocki,Tropical river prawn,Camarón tropical,Bouquet tropical
lhl,Lophiocharon lithinostomus,Marble-mouthed frogfish,,
lhm,Lobophyllia hemprichii,Largebrain root coral,,
lhn,Lethrinus nebulosus,Spangled emperor,Emperador relámpago,Empereur moris
lho,Lethrinus olivaceus,Longface emperor,,
lhp,Callochromis macrops,,,
lhq,Alluroteuthis antarcticus,Antarctic neosquid,Neoluria antártica,Loutène australe
lhr,Lethrinus reticulatus,Red snout emperor,,
lhs,Lophiomus setigerus,Blackmouth angler,,
lht,Trichiurus lepturus,Largehead hairtail,Pez sable,Poisson-sabre commun
lhu,Lophiodes caulinaris,Spottedtail angler,,
lhv,Lethrinus variegatus,Slender emperor,,
lhw,Larus novaehollandiae,Silver gull,Gaviota plateada australiana,Mouette argentée
lhx,Larus spp,Seagulls nei,,
lhy,Palaemon hiltoni,Hilton shrimp,Camarón Hilton,Bouquet Hilton
lhz,Larus argentatus,Herring gull,Gaviota argéntea,Goéland argenté
lia,Lipariscus nanus,Pygmy snailfish,,
lib,Saurida undosquamis,Brushtooth lizardfish,Lagarto escamoso,Anoli à grandes écailles
lic,Channichthys rhinoceratus,Unicorn icefish,Draco rinoceronte,Grande-gueule à long nez
lid,Labroides dimidiatus,Bluestreak cleaner wrasse,,
lie,Lepidiolamprologus attenuatus,,,
lif,Liparis fabricii,,,
lig,Saurida tumbil,Greater lizardfish,Lagarto tumbil,Anoli tumbil
lih,Liparis coheni,Gulf snailfish,,
lii,Lioscorpius longiceps,,,
lij,Alectis ciliaris,African pompano,Pámpano de hebra,Cordonnier fil
lik,Lepipterus schomburgkii,Amazon croaker,,
lil,Liparis liparis,Striped seasnail,,
lim,Liparis montagui,Montagus seasnail,,
lin,Molva molva,Ling,Maruca,Lingue franche
lio,Necora puber,Velvet swimcrab,Nécora,Étrille commune
liq,Tellina pulchella,Beautiful tellin,Telina hermosa,Telline gentille
lir,Lipocheilus carnolabrum,Tang's snapper,Pargo trompudo,Vivaneau verrue
lis,Liparis tunicatus,Kelp snailfish,,
lit,Lithothamnion spp,Lithothamnion,,
liu,Liparis gibbus,Variegated snailfish,,
liv,Limbochromis cavalliensis,,,
liw,Litobranchus fowleri,Fowler's rockskipper,,
lix,Synodontidae,Lizardfishes nei,Lagartos nep,Anolis
liy,Haliotis asinina,Donkey's ear abalone,,Ormeau oreille-d'âne
lja,Lutjanus agennes,African red snapper,Pargo colorado africano,Vivaneau africain rouge
ljb,Lutjanus bohar,Two-spot red snapper,Pargo de dos manchas,Vivaneau chien rouge
ljc,Lutjanus colorado,Colorado snapper,Pargo rojo,Vivaneau amarante
ljd,Lutjanus decussatus,Checkered snapper,Pargo ajedrezado,Vivaneau damier
lje,Lutjanus dentatus,African brown snapper,Pargo marrón africano,Vivaneau brun d'Afrique
ljf,Lutjanus fulviflammus,Dory snapper,,
ljg,Lutjanus gibbus,Humpback red snapper,Pargo jorobado,Vivaneau pagaie
ljh,Lutjanus johnii,John's snapper,Pargo jaspeado,Vivaneau ziebelo
lji,Lutjanus griseus,Grey snapper,Pargo prieto,Vivaneau sarde grise
ljj,Lutjanus jocu,Dog snapper,Pargo jocú,Vivaneau chien
ljk,Lutjanus monostigma,One-spot snapper,Pargo eglefino,Vivaneau églefin
ljl,Lutjanus lutjanus,Bigeye snapper,Pargo de Madras,Vivaneau gros yeux
ljm,Lutjanus mahogoni,Mahogany snapper,Pargo ojón,Vivaneau voyeur
ljn,Lutjanus analis,Mutton snapper,Pargo criollo,Vivaneau sorbe
ljo,Lutjanus goreensis,Gorean snapper,Pargo de Gorea,Vivaneau de Gorée
ljp,Lutjanus apodus,Schoolmaster snapper,Pargo amarillo,Vivaneau dent-chien
ljq,Lithothamnion corallioides,,,
ljr,Lutjanus aratus,Mullet snapper,Pargo raicero,Vivaneau radis
ljs,Lutjanus guttatus,Spotted rose snapper,Pargo lunarejo,Vivaneau rose
ljt,Lutjanus erythropterus,Crimson snapper,Pargo carmesí,Vivaneau cramoisi
lju,Lutjanus buccanella,Blackfin snapper,Pargo sesí,Vivaneau oreille noire
ljv,Lutjanus fulvus,Blacktail snapper,Pargo rabo negro,Vivaneau queue noire
ljw,Lutjanus novemfasciatus,Pacific dog snapper,Pargo negro,Vivaneau charbonnier
ljx,Lessonia nigrescens,Chilean kelp,Chascón,
ljy,Lutjanus cyanopterus,Cubera snapper,Pargo cubera,Vivaneau cubera
ljz,Lessonia trabeculata,,Huiro palo,
lka,Leurochilus acon,Smoothlip stargazer,,
lkb,Luciogobius albus,,,
lkc,Plesionika acanthonotus,Lesser striped shrimp,Camarón rayado menor,Crevette naine rayée
lkd,Lepadidae,Lepadidae barnacles nei,Percebes Lepadidae nep,Anatifes Lepadidae
lke,Liachirus melanospilus,,,
lkf,Laticauda semifasciata,Erabu sea snake,,
lkg,Leptochela gracilis,Lesser glass shrimp,Camaroncito cristal,Sivade cristal
lkh,Lipkius holthuisi,Wellington shrimp,Camarón Wellington,Sauté Wellington
lki,Palaemonetes schmitti,Lagoon shrimp,Camarón de estero,Bouquet de lagune
lkj,Plesionika gigliolii,Italian deep-sea shrimp,Camarón italiano de fondo,Crevette profonde italienne
lkk,Palaemonetes kadiakensis,Mississippi grass shrimp,Camarón del Mississippi,Bouquet mississippi
lkl,Plesionika alcocki,Gondwana striped shrimp,Camarón gondwana,Crevette gondwana
lkm,Callogobius amikami,,,
lkn,Plesionika antigai,Catalonian striped shrimp,Camarón catalán,Crevette catalane
lko,Plesionika heterocarpus,Arrow shrimp,Camarón flecha,Crevette flèche
lkp,Lepturacanthus pantului,Coromandel hairtail,Pez sable coromandélico,Poisson-sabre bécune
lkq,Limanda sakhalinensis,Sakhalin sole,,
lkr,Otolithes ruber,Tigertooth croaker,Bombache tigre mayor,Grande verrue tigre
lks,Plesionika ensis,Striped gladiator shrimp,Camarón gladiador rayado,Crevette gladiateur rayée
lkt,Plesionika martia,Golden shrimp,Camarón de oro,Crevette dorée
lku,Laeops clarus,Clear fin-base flounder,,
lkv,Lepidochelys olivacea,Olive ridley turtle,Tortuga golfina,Tortue olivatre
lkw,Plesionika edwardsii,Striped soldier shrimp,Camarón soldado rayado,Crevette édouard
lkx,Atractosteus spp,,,Garpiques
lky,Lepidochelys kempii,Kemp's ridley turtle,Tortuga lora,Tortue de Kemp
lkz,Lapemis curtus,Short sea snake,,
lla,Lepidogalaxias salamandroides,Dwarf pencilfish,,
llb,Lethrinus amboinensis,Ambon emperor,,
llc,Lamprologus callipterus,,,
lld,Lepidoblennius haplodactylus,Eastern jumping blenny,,
lle,Leptobrama muelleri,Beachsalmon,,
llf,Tellina linguafelis,Cat's tongue tellin,,Telline langue de chat
llg,Leptochilichthys agassizii,,,
llh,Alloclinus holderi,Island kelpfish,,
lli,Lobulogobius omanensis,Oman goby,,
llj,Calliurichthys japonicus,,,
llk,Callistoctopus arakawai,,,
lll,Lophotus lacepede,Crested oarfish,,
llm,Clariallabes attemsi,,,
lln,Leptolebias minimus,Barredtail pearlfish,,
llo,Lepisosteus osseus,Longnose gar,Catán aguja,Lépisosté osseux
llp,Lepidosiren paradoxa,South American lungfish,,
llq,Palinurellus gundlachi,Caribbean furry lobster,Langostita del Caribe,Cacahouète des Caraïbes
llr,Scartella cristata,Molly miller,,
lls,Atractosteus spatula,Alligator gar,Catán,Garpique alligator
llt,Lebiasina astrigata,,,
llu,Lissonanchus lusheri,Streaky clingfish,,
llv,Lagocephalus lunaris,Lunartail puffer,,
llw,Palinurellus wieneckii,Indo-Pacific furry lobster,Langostita del Indo-Pacífico,Cacahouète indo-pacifique
llx,Tellina palatam,Palate tellin,,Telline rugueuse
lly,Callianassa tyrrhena,Sand ghost shrimp,,
llz,Leiocassis longirostris,Chinese longsnout catfish,,
lma,Isurus paucus,Longfin mako,Marrajo carite,Petite taupe
lmb,Parataeniophorus brevis,,,
lmc,Cetomimoides parri,,,
lmd,Lamna ditropis,Salmon shark,Marrajo salmón,Requin-taupe saumon
lme,Mirapinna esau,Hairyfish,,
lmf,Lepidion microcephalus,Small-headed cod,,
lmg,Laemonema longipes,Longfin codling,,
lmh,Allolumpenus hypochromus,Y-prickleback,,
lmi,Limnocottus bergianus,,,
lmj,Lumpenus fabricii,Slender eelblenny,,
lmk,Liopropoma eukrines,Wrasse bass,,
lml,Laemonema laureysi,Guinean codling,,
lmm,Lepomis macrochirus,Bluegill,Mojarra oreja azul,Crapet arlequin
lmn,Laemolyta taeniata,,,
lmo,Mitsukurina owstoni,Goblin shark,Tiburón duende,Requin lutin
lmp,Megachasma pelagios,Megamouth shark,Tiburón bocudo,Requin grande guele
lmq,Palaemonetes antennarius,Pond shrimp,Camarón lacustre,Bouquet des étangs
lmr,Lumpenella longirostris,Longsnout prickleback,,
lms,Panulirus polyphagus,Mud spiny lobster,Langosta fanguera,Langouste de vase
lmt,Lamiopsis temmincki,Broadfin shark,Tiburón aletón,Requin grandes ailes
lmu,Liosomadoras oncinus,Jaguar catfish,,
lmv,Lumpenopsis pavlenkoi,,,
lmw,Palaemon ritteri,Barred grass shrimp,Camarón de mareas,Bouquet des marées
lmx,Ataxolepis apus,,,
lmy,Limia caymanensis,Grand Cayman limia,,
lmz,Lamniformes,Mackerel sharks,,
lna,Lyconema barbatum,Bearded eelpout,,
lnb,Leptonotus blainvilleanus,Deep-bodied pipefish,,
lnc,Lichnochromis acuticeps,Malawi gar,,
lnd,Silonia silondia,Silond catfish,,
lne,Limnochromis abeelei,,,
lnf,Lobianchia dofleini,Dofleini's lantern fish,Japonés,Lanterne de Dofleini
lng,Planctanthias longifilis,,,
lnh,Lonchopisthus higmani,,,
lni,Lepidonectes bimaculata,Twinspot triplefin,,
lnj,Laminaria japonica,Japanese kelp,Laminaria del Japón,Laminaire du Japon
lnk,Paracallionymus costatus,Ladder dragonet,,
lnl,Lonchurus lanceolatus,Longtail croaker,,
lnm,Selene vomer,Lookdown,Jorobado de penacho,Musso panache
lnn,Platygnathochromis melanonotus,Haplochromis yellow black line,,
lno,Selene orstedii,Mexican moonfish,,
lnp,Selene peruviana,Peruvian moonfish,Jorobado espejo,Musso pacifique
lnq,Leandrites indicus,Indian small prawn,,
lnr,Limnotilapia dardennii,,,
lns,Clinitrachus argentatus,Cline,,
lnt,Cheiloprion labiatus,Big-lip damsel,,
lnu,Lethrinops albus,,,
lnv,Selene brevoortii,Hairfin lookdown,Jorobado antena,Musso corcovade
lnw,Selene browni,Caribbean moonfish,,
lnx,Solen grandis,Grand razor shell,,Grand couteau
lny,Pseudopleuronectes yokohamae,Marbled flounder,,
lnz,Molva spp,Lings nei,Marucas nep,Lingues
loa,Panulirus cygnus,Australian spiny lobster,Langosta de Australia,Langouste d'Australie
lob,Lobotes surinamensis,Tripletail,Dormilona,Croupia roche
loc,Labeo victorianus,Ningu,,
lod,Labeo sindensis,,,
loe,Labeo rosae,,,
lof,Jasus frontalis,Juan Fernandez rock lobster,Langosta de Juan Fernández,Langouste Juan Fernandez
log,Jasus verreauxi,Green rock lobster,Langosta de Oceanía,Langouste d'Océanie
loh,Labeo pangusia,,,
loi,Labeo microphthalmus,,,
loj,Panulirus longipes,Longlegged spiny lobster,Langosta duende,Langouste diablotin
lok,Panulirus homarus,Scalloped spiny lobster,Langosta festoneada,Langouste festonnée
lol,Labeo niloticus,,,
lom,Labeo mesops,,,
lon,Labeo nandina,,,
loo,Odontaspis ferox,Smalltooth sand tiger,Solrayo,Requin féroce
lop,Lophotus capellei,Unicornfish,,
loq,Galatheidae,"Craylets, squat lobsters","Camaroncillos,langostinos,etc.",Galathées
lor,Jasus edwardsii,Red rock lobster,Langosta roja,
los,Scyllaridae,Slipper lobsters nei,Cigarros nep,Cigales
lot,Thunnus tonggol,Longtail tuna,Atún tongol,Thon mignon
lou,Carcharias tricuspidatus,Indian sand tiger,,
lov,Leptoscarus vaigiensis,Marbled parrotfish,,
low,Larus fuscus,Lesser black-backed gull,Gaviota sombría,Goéland brun
lox,Reptantia,Lobsters nei,Langostas nep,"Langoustes, homards"
loy,Panulirus regius,Royal spiny lobster,Langosta real,Langouste royale
loz,Lobotes pacificus,Pacific tripletail,Dormilona del Pacífico,Croupia roche du Pacifique
lpa,Lepidarchus adonis,Jellybean tetra,,
lpb,Leporinus obtusidens,,,
lpc,Leporinus fasciatus,Banded leporinus,,
lpd,Leporinus friderici,,,
lpe,Lepidion ensiferus,Patagonian codling,,
lpf,Pyrrhulina filamentosa,,,
lpg,Leptocypris guineensis,,,
lph,Lepidion guentheri,,,
lpi,Luciopimelodus pati,Pati,,
lpj,Lepidion lepidion,Mediterranean codling,,
lpk,Leucalburnus kosswigi,,,
lpl,Lampanyctus alatus,,,
lpm,Lepthoplosternum altamazonicum,,,
lpn,Leptocypris niloticus,,,
lpo,Leptocharacidium omospilus,,,
lpp,Piabucina panamensis,,,
lpq,Lophiobagrus aquilus,,,
lpr,Leporinus granti,,,
lps,Lepidion eques,North Atlantic codling,,
lpt,Lepidopygopsis typus,,,
lpu,Leporellus vittatus,,,
lpv,Lepidomeda vittata,Little Colorado spinedace,,
lpw,Lepophidium brevibarbe,Shortbeard cusk-eel,Perla barbacorta,Brotule barbiche
lpx,Liparidae,Snailfishes nei,Babosos nep,Limaces de mer
lpy,Lampanyctus ater,,,
lpz,Patella spp,Limpets nei,Lapas nep,Patelles
lqa,Liocarcinus arcuatus,Arched swimming crab,Cangrejo arqueado,Étrille arquée
lqb,Lucinoma borealis,Northern lucina,Lucina boreal,Lucine boréale
lqc,Patella caerulea,Rayed mediterranean limpet,Lapa azulada,Patelle de la Méditerranée
lqd,Laminaria digitata,Tangle,,Laminaire digitée
lqf,Patella ferruginea,Ferreous limpet,Lapa ferruginea,Patelle foncée
lqg,Malletia gigantea,Kerguelen malletia,Maletia de Kerguelen,Malletia de Kerguelen
lqh,Lysiosquilla hoevenii,Lizard mantis,Galera gigante,Squille lézard géante
lqi,Limopsis marionensis,Antarctic airy limopsis,Limopsis antártica,Limopsis antarctique
lqj,Lottia gigantea,Giant owl limpet,Acmea gigante,Patelle géante
lqk,Lithopoma caelata,Carved star-shell,Turbante tallado,Turban incisé
lql,Pleuroncodes planipes,Pelagic red crab,Langostino pelágico,Galathée pélagique
lqm,Lysiosquillina maculata,Common banded mantis shrimp,,
lqn,Patella nigra,Black limpet,Lapa negra,Patelle de Safi
lqo,Lethrinus ornatus,Ornate emperor,Emperador ornado,Empereur orné
lqp,Lysiosquilla panamica,Striped mantis,Nape rayado,Squille rayée
lqq,Haliotis planata,Planate abalone,,Ormeau aplati
lqr,Patella rustica,Rustic limpet,Lapa punteada,Patelle ponctuée
lqs,Lysiosquilla scabricauda,Smooth mantis shrimp,Galera lisa,Squille douce
lqt,Lottia limatula,File limpet,Acmea limadora,Acmée râpe
lqu,Loripes lucinalis,Pale lucina,Lucina palida,Lucine pale
lqv,Liocarcinus vernalis,Smooth swimcrab,Cangrejo costero,Étrille lisse
lqw,Haliotis varia,Variable abalone,,Ormeau bigarre
lqx,Laminaria saccharina,Sea belt,,Laminaire saccharine
lqy,Patella ulyssiponensis,Rough limpet,Lapa aspera,Patelle rude
lqz,Liocarcinus spp,Liocarcinus swimcrabs nei,Cangrejos Liocarcinus nep,Étrilles Liocarcinus
lra,Clarias alluaudi,,,
lrb,Pristipomoides sieboldii,Lavender jobfish,Panchito lavanda,Colas lavande
lrc,Paracaesio caerulea,Japanese snapper,Panchote japonés,Vivanette japonaise
lrd,Laridae,,,
lre,Radiicephalus elongatus,Tapertail,,
lrf,Larimus effulgens,Shining drum,,
lrg,Paracaesio gonzalesi,Vanuatu snapper,Panchote vanuatú,Vivanette Vanuatu
lrh,Labeo rohita,Roho labeo,Labeo Roho,Labéo Roho
lri,Pristipomoides multidens,Goldbanded jobfish,Panchito de bandas doradas,Colas à bandes dorées
lrj,Larimus breviceps,Shorthead drum,,
lrk,Paracaesio kusakarii,Saddle-back snapper,Panchote sillevo,Vivanette sellée
lrl,Latris lineata,Striped trumpeter,,
lrm,Cleithracara maronii,Keyhole cichlid,,
lrn,Clarias ngamensis,Blunt-toothed African catfish,,
lro,Selar boops,Oxeye scad,Jurel ojo de buey,Sélar oeil de boeuf
lrp,Leiarius marmoratus,,,
lrq,Larabicus quadrilineatus,,,
lrr,Larimus argenteus,Silver drum,,
lrs,Liobranchia stria,Minute clingfish,,
lrt,Clarias theodorae,Snake catfish,,
lru,Pristipomoides typus,Sharptooth jobfish,Panchito dentón,Colas dentu
lrv,Larimus acclivis,Steeplined drum,,
lrw,Clarias werneri,,,
lrx,Paracaesio xanthura,Yellowtail blue snapper,Panchote rabo amarillo,Vivanette queue jaune
lry,Pristipomoides argyrogrammicus,Ornate jobfish,Panchito adornado,Colas orné
lrz,Littoraria scabra,Rough periwinkle,,Littorine rugueuse
lsa,Leptosynanceia asteroblepa,,,
lsb,Leptostomias bilobatus,,,
lsc,Stylephorus chordatus,Tube-eye,,
lsd,Liposarcus pardalis,,,
lse,Cephalocassis melanochir,,,
lsf,Alphestes afer,Mutton hamlet,Guaseta,Varech
lsg,Labrisomus gobio,Palehead blenny,,
lsh,Plesienchelys stehmanni,,,
lsi,Larimus pacificus,Pacific drum,,
lsj,Alepes djedaba,Shrimp scad,Jurel subarí,Sélar subari
lsl,Lates microlepis,Forktail lates,,
lsm,Lates mariae,Bigeye lates,,
lsn,Alepes melanoptera,Blackfin scad,Jurel alinegro,Sélar aile noire
lso,Lepidopsetta mochigarei,Dusky sole,,
lsq,Latreutes laminirostris,Platenose shrimp,Camarón laminilla,Bouc nez lamelleux
lsr,Placidochromis electra,Deep-water hap,,
lss,Leuresthes sardina,Gulf grunion,,
lst,Alphestes multiguttatus,Rivulated mutton hamlet,Guaseta rayado,Varech veiné
lsu,Labidesthes sicculus,Brook silverside,,
lsv,Alepes vari,Herring scad,Jurel arenque,Sélar harengule
lsw,Lissocampus bannwarthi,,,
lsx,Lophiosilurus alexandri,,,
lsz,Lethenteron camtschaticum,Arctic lamprey,,
lta,Euthynnus alletteratus,Little tunny(=Atl.black skipj),Bacoreta,Thonine commune
ltc,Leptodoras acipenserinus,,,
ltd,Alectis indicus,Indian threadfish,Pámpano de pluma,Cordonnier plume
lte,Lethrinus enigmaticus,Blackeye emperor,,
ltf,Leptoichthys fistularius,Brush-tailed pipefish,,
ltg,Lates angustifrons,Tanganyika lates,,
lth,Leiopotherapon aheneus,Fortescue grunter,,
lti,Lethrinus laticaudis,Grass emperor,,
ltj,Lutjanus vivanus,Silk snapper,Pargo de lo alto,Vivaneau soie
ltk,Lethrinus harak,Thumbprint emperor,Emperador San Pedro,Empereur Saint Pierre
ltl,Culter alburnus,,,
ltm,Limnothrissa miodon,Lake Tanganyika sardine,,
ltn,Lethrinus atlanticus,Atlantic emperor,Emperador atlántico,Empereur atlantique
lto,Lates macrophthalmus,Albert lates,,
ltp,Lotella phycis,Beardie,,
ltq,Lethrinus mahsena,Sky emperor,Emperador mahsena,Empereur mahsena
ltr,Lamontichthys maracaibero,,,
lts,Lethrinus lentjan,Pink ear emperor,Emperador de lentejuelas,Empereur lentille
ltt,Lethrinus atkinsoni,Pacific yellowtail emperor,,
ltu,Alectrias alectrolophus,Stone cockscomb,,
ltv,Laetacara flavilabris,,,
ltw,Lethotremus awae,,,
ltx,Lestradea perspicax,,,
lty,Lethrinus erythropterus,Longfin emperor,,
ltz,Latreutes planirostris,Flatnose shrimp,Camarón romo,Bouc nez émoussé
lua,Liauchenoglanis maculatus,,,
lub,Lutjanus sebae,Emperor red snapper,Pargo imperial,Vivaneau bourgeois
luc,Leuciscus cephaloides,,,
lud,Leucaspius delineatus,Belica,,
lue,Labiobarbus leptocheilus,,,
luf,Lutjanus rufolineatus,Yellow-lined snapper,,
lug,Clupisoma garua,,,
luh,Leuciscus cephalus,Chub,,
lui,Lucania goodei,Bluefin killifish,,
luj,Lutjanus vitta,Brownstripe red snapper,Pargo bitilla,Vivaneau à bande brune
luk,Selene dorsalis,African moonfish,Jorobado africano,Musso africain
lul,Lumbrineris latreilli,,Arena,
lum,Cyclopterus lumpus,Lumpfish(=Lumpsucker),Liebre de mar,Lompe
lun,Luciosudis normani,,,
luo,Leptolucania ommata,Pygmy killifish,,
lup,Leuciscus polylepis,,,
luq,Latreutes acicularis,Hoso shrimp,Camarón oso,Bouc oso
lur,Leuciscus pyrenaicus,,,
lus,Leuciscus souffia,Vairone,,
lut,Amphilius platychir,Mountain barbel,,
luu,Siluranodon auritus,,,
luv,Lutjanus rivulatus,Blubberlip snapper,Pargo maorí,Vivaneau maori
luw,Lauridromia indica,Cannonball sponge crab,,
lux,Lucifuga dentatus,Toothed Cuban cusk-eel,,
luy,Leuciscus borysthenicus,Dnieper chub,,
luz,Lucayablennius zingaro,Arrow blenny,,
lva,Larus atricilla,Laughing gull,Gaviota reidora americana,Mouette atricille
lvb,Laurencia obtusa,Blunt laurenzia,Laurencia de cerezas,Laurencia-cerises
lvc,Laevicardium crassum,Norwegian egg cockle,Berberecho de Noruega,Coque lisse norvégienne
lvd,Zoarcidae,Eelpouts nei,Loquetas nep,Loquettes
lve,Lavinia exilicauda,Hitch,,
lvf,Laurencia pacifica,Pacific laurenzia,Laurencia del Pacífico,Laurencia du Pacifique
lvg,Lutjanus goldiei,Papuan black snapper,Pargo de Papua,Vivaneau de Papua
lvh,Larus audouinii,Audouin's gull,Gaviota de Audouin,Goéland d'Audouin
lvi,Leviprora inops,,,
lvj,Larus cachinnans,Yellow-legged gull,Gaviota patiamarilla,Goéland leucophée
lvk,Lutjanus kasmira,Common bluestripe snapper,Pargo de rayas azules,Vivaneau à raies bleues
lvl,Laevicardium elatum,Giant Pacific egg cockle,Berberecho gigante,Bucarde lisse géante
lvm,Luvarus imperialis,Luvar,,
lvn,Lutjanus fulgens,Golden African snapper,Pargo dorado africano,Vivaneau doré
lvo,Laevicardium oblongum,Oblong egg cockle,Berberecho liso,Coque lisse sillonnée
lvp,Lycodapus pachysoma,Stout slipskin,,
lvq,Lepisosteus platostomus,Shortnose gar,,
lvs,Laurencia sinicola,Swollen laurenzia,Laurencia hinchada,Laurencia renflée
lvt,Lepisosteus oculatus,Spotted gar,Catán pinto,Lépisosté tacheté
lvu,Larus marinus,Great black-backed gull,Gavión atlántico,Goéland marin
lvv,Laevicardium laevigatum,Common egg cockle,Berberecho huevo,Bucarde lisse des Caraïbes
lvw,Larus glaucoides,Iceland gull,Gaviota groenlandesa,Goéland arctique
lvx,Alepes spp,,,
lvy,Larus hyperboreus,Glaucous gull,Gavión hiperbóreo,Goéland bourgmestre
lvz,Larus sabini,Sabine's gull,Gaviota de Sabine,Mouette de Sabine
lwa,Pristipomoides auricilla,Goldflag jobfish,Panchito abanderado,Colas drapeau
lwb,Lycenchelys bellingshauseni,,,
lwd,Luciobarbus bocagei,,Barbo ibérico,
lwe,Lutjanus ehrenbergii,Blackspot snapper,Pargo manchado,Vivaneau encrier
lwf,Pristipomoides flavipinnis,Golden eye jobfish,Panchito de ojo dorado,Colas oeil doré
lwg,Lagowskiella czekanowskii,Czekanowski's minnow,,
lwi,Loweina interrupta,,,
lwj,Lutjanus jordani,Jordan's snapper,Huachinango,Vivaneau huachinango
lwk,Luciobarbus comizo,,Barbo comizo,
lwl,Lutjanus lemniscatus,Yellowstreaked snapper,Pargo de raya amarillas,Vivaneau à raies jaunes
lwn,Lutjanus coeruleolineatus,Blueline snapper,Pargo estriado,Vivaneau strié
lwo,Lethrinus obsoletus,Orange-striped emperor,Emperador de bandes,Empereur à bandes oranges
lwp,Lutjanus peru,Pacific red snapper,Pargo gringo,Vivaneau garance
lwq,Lutjanus quinquelineatus,Five-lined snapper,Pargo de cinco lineas,Vivaneau à cinq bandes
lwr,Paracaesio stonei,Cocoa snapper,Panchote cacao,Vivanette cacao
lws,Lophelia pertusa,,,
lwt,Lutjanus timorensis,Timor snapper,Pargo de Timor,Vivaneau de Timor
lwx,Pristipomoides spp,Jobfishes nei,Panchito nep,Colas
lwy,Lycenchelys antarctica,,,
lwz,Pristipomoides zonatus,Oblique-banded snapper,Panchito rayado,Colas bagnard
lxa,Latiaxis babelis,Babel's latiaxis,Torre de Babel,Coralliophile-tour de Babel
lxb,Lithoxus bovallii,,,
lxc,Luxilus chrysocephalus,Striped shiner,,
lxe,Lethrinus erythracanthus,Orange-spotted emperor,Emperador de manchas,Empereur capitaine
lxf,Lessonia fuscescens,Southern brown kelp,,Lessonie brunatre
lxn,Lethrinus xanthochilus,Yellowlip emperor,Emperador trompa amarilla,Empereur bec-de-cane
lxo,Luxilus cornutus,Common shiner,,
lxp,Leptoseris papyracea,Leaf coral,Coral foliaceo,Corail foliace
lxr,Platax orbicularis,Orbicular batfish,,
lxs,Lepisosteidae,Gars nei,Pejelagartos nep,Lépisostés
lxx,Myctophidae,Lanternfishes nei,Peces linterna nep,Lanternules
lxy,Lycodapus spp,,,
lxz,Leporinus spp,,,
lya,Ophthalmolycus amberensis,,,
lyb,Lyconus brachycolus,,,
lyc,Larimichthys croceus,Large yellow croaker,Corvina japonesa,Tambour à gros yeux
